filename,x,y
Frame_20250627_093853_156_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,991.17,366.45
Frame_20250627_094302_158_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,708.21,370.37
Frame_20250627_094723_160_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,571.67,368.54
Frame_20250627_094828_162_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,638.11,414.43
Frame_20250627_094941_164_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,921.46,300.78
Frame_20250627_095115_166_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,698.74,376.65
Frame_20250627_095239_168_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,583.14,401.7
Frame_20250627_095341_170_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,835.27,418.34
Frame_20250627_095452_172_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,583.21,301.54
Frame_20250627_095609_174_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,573.47,301.81
Frame_20250627_100123_176_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,483.87,361.37
Frame_20250627_100222_178_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,833.51,369.18
Frame_20250627_100316_180_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,652.09,315.95
Frame_20250627_100413_182_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,826.43,330.0
Frame_20250627_100559_184_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,1002.8,355.54
Frame_20250627_100709_186_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,545.07,349.97
Frame_20250627_100803_188_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,760.14,400.14
Frame_20250627_100910_190_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,663.51,329.09
Frame_20250627_101205_192_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,623.71,370.64
